Year,Metric,Group,Subgroup,Order,Characteristic,Percent
1997,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,Total,1,Total,8.3
1998,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,Total,1,Total,7.4
1999,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,Total,1,Total,7.3
2000,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,Total,1,Total,7.4
2001,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,Total,1,Total,7.6
2002,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,Total,1,Total,7.6
2003,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,Total,1,Total,8.3
2004,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,Total,1,Total,8.8
2005,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,Total,1,Total,8.5
2006,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,Total,1,Total,9.1
2007,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,Total,1,Total,9
2008,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,Total,1,Total,10.4
2009,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,Total,1,Total,11.4
2010,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,Total,1,Total,10.9
2011,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,Total,1,Total,10.3
2012,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,Total,1,Total,9.6
2013,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,Total,1,Total,9.1
2014,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,Total,1,Total,8.2
2015,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,Total,1,Total,7.3
1997,Nonreceipt of Needed Dental Care Due to Cost,Age,Total,1,Total,8.6
1998,Nonreceipt of Needed Dental Care Due to Cost,Age,Total,1,Total,7.6
1999,Nonreceipt of Needed Dental Care Due to Cost,Age,Total,1,Total,7.9
2000,Nonreceipt of Needed Dental Care Due to Cost,Age,Total,1,Total,8.1
2001,Nonreceipt of Needed Dental Care Due to Cost,Age,Total,1,Total,8.7
2002,Nonreceipt of Needed Dental Care Due to Cost,Age,Total,1,Total,8.6
2003,Nonreceipt of Needed Dental Care Due to Cost,Age,Total,1,Total,9.2
2004,Nonreceipt of Needed Dental Care Due to Cost,Age,Total,1,Total,10.7
2005,Nonreceipt of Needed Dental Care Due to Cost,Age,Total,1,Total,10.7
2006,Nonreceipt of Needed Dental Care Due to Cost,Age,Total,1,Total,10.8
2007,Nonreceipt of Needed Dental Care Due to Cost,Age,Total,1,Total,10.5
2008,Nonreceipt of Needed Dental Care Due to Cost,Age,Total,1,Total,12.6
2009,Nonreceipt of Needed Dental Care Due to Cost,Age,Total,1,Total,13.3
2010,Nonreceipt of Needed Dental Care Due to Cost,Age,Total,1,Total,13.5
2011,Nonreceipt of Needed Dental Care Due to Cost,Age,Total,1,Total,12.9
2012,Nonreceipt of Needed Dental Care Due to Cost,Age,Total,1,Total,11.5
2013,Nonreceipt of Needed Dental Care Due to Cost,Age,Total,1,Total,11.1
2014,Nonreceipt of Needed Dental Care Due to Cost,Age,Total,1,Total,10
2015,Nonreceipt of Needed Dental Care Due to Cost,Age,Total,1,Total,9.4
